customer_id,age,gender,tenure_months,contract_type,monthly_charges,support_tickets,payment_delays,satisfaction_score,churn
C0000,56,Male,40,1-Year,1007.68,3,0,2.8,0
C0001,69,Male,45,Monthly,634.26,1,2,2.6,0
C0002,46,Male,62,Monthly,1152.51,1,1,4.5,0
C0003,32,Female,58,2-Year,725.89,4,1,4.7,0
C0004,60,Male,67,Monthly,288.86,1,0,2.2,0
C0005,25,Male,56,1-Year,1218.89,2,2,4.5,0
C0006,38,Male,40,2-Year,571.49,0,1,4.1,0
C0007,56,Female,40,1-Year,762.6,4,0,4.7,0
C0008,36,Female,33,2-Year,1091.08,3,0,2.0,0
C0009,40,Male,6,Monthly,632.19,2,0,3.3,1
C0010,28,Male,19,Monthly,273.56,2,0,2.1,1
C0011,28,Male,40,Monthly,686.1,3,1,4.3,0
C0012,41,Male,59,1-Year,1427.78,3,0,1.0,1
C0013,53,Female,59,2-Year,1034.25,1,2,3.3,0
C0014,57,Female,48,Monthly,1072.92,3,0,2.4,0
C0015,41,Female,41,1-Year,1021.97,3,0,2.3,1
C0016,20,Female,13,Monthly,458.69,0,2,3.6,1
C0017,39,Male,45,1-Year,743.83,4,3,4.4,0
C0018,19,Male,53,1-Year,1176.22,4,0,3.4,1
C0019,41,Male,42,2-Year,331.78,2,2,4.4,0
C0020,61,Female,63,1-Year,561.21,2,1,2.1,0
C0021,47,Male,27,Monthly,559.21,2,1,3.1,0
C0022,55,Female,38,Monthly,761.62,0,2,2.8,0
C0023,19,Female,60,Monthly,1474.48,2,1,1.0,1
C0024,38,Male,7,Monthly,287.75,2,2,3.2,1
C0025,50,Male,5,Monthly,874.31,3,1,3.6,1
C0026,29,Male,45,2-Year,433.17,0,1,3.4,0
C0027,39,Female,58,1-Year,1461.88,1,1,3.9,0
C0028,61,Male,31,1-Year,347.29,3,0,3.3,0
C0029,42,Female,23,Monthly,724.68,3,2,1.3,1
C0030,66,Male,42,2-Year,1159.25,4,2,1.5,1
C0031,44,Female,10,1-Year,1115.92,0,0,3.4,1
C0032,59,Female,32,Monthly,749.55,3,1,2.1,1
C0033,45,Male,53,1-Year,650.48,1,4,1.3,0
C0034,33,Female,30,1-Year,716.9,2,1,2.7,0
C0035,32,Female,39,Monthly,543.56,5,1,3.2,0
C0036,64,Male,31,1-Year,466.93,0,1,2.3,0
C0037,68,Female,2,1-Year,827.95,1,0,3.9,1
C0038,61,Male,12,Monthly,549.09,3,0,3.6,0
C0039,69,Female,39,2-Year,573.7,3,1,2.3,0
C0040,20,Male,66,2-Year,1053.78,1,0,4.0,0
C0041,54,Male,13,1-Year,1459.1,0,1,3.6,0
C0042,68,Female,46,1-Year,984.73,3,1,3.5,0
C0043,24,Female,27,Monthly,300.07,3,2,,0
C0044,38,Female,17,1-Year,298.26,0,1,1.0,0
C0045,26,Female,60,1-Year,1436.85,2,1,3.8,0
C0046,56,Female,64,Monthly,586.48,0,0,2.5,0
C0047,35,Male,35,1-Year,319.69,4,2,4.8,0
C0048,21,Female,70,2-Year,978.76,0,0,4.3,0
C0049,42,Male,30,1-Year,1010.74,2,0,3.4,0
C0050,31,Male,71,Monthly,1043.06,1,2,2.0,0
C0051,67,Female,63,1-Year,547.62,0,0,1.8,0
C0052,26,Male,28,Monthly,219.64,1,2,2.4,0
C0053,43,Male,60,Monthly,1454.52,2,0,2.9,0
